tiempo,corriente,voltaje,potencia,SOC
415.0,0.008269,3.538319,0.029258359811,0.40216542290812024
416.0,0.009267,3.538462,0.032790927354,0.40216504820726556
417.0,0.0066045,3.538697,0.0233713243365,0.4021647090726502
418.0,0.0094625,3.538879,0.0334866425375,0.4021643657606844
419.0,0.0045575,3.539042,0.0161291839149999,0.4021640661880348
420.0,0.0051845,3.53915,0.0183487231749999,0.40216385802564164
421.0,0.0036165,3.539364,0.012800109906,0.40216366997008607
422.0,0.004374,3.539577,0.015482109798,0.40216349923290656
423.0,0.002461,3.539752,0.008711329672,0.402163353185898
424.0,0.0013935,3.539972,0.004932950982,0.4021632708247869
425.0,0.0008095,3.54009,0.002865702855,0.40216322375213737
426.0,2.35e-05,3.54029,8.3196815e-05,0.40216320595299204
427.0,-0.0013805,3.540462,-0.004887607791,0.40216323494871853
